16:57:10.833[localhost-startStop-1][INFO ]Starting WorkflowApplication on LAPTOP-N4ED6EOG with PID 3604 (D:\ProjectCode\projmgnt-workflow\target\classes started by bytd in D:\ProjectCode\projmgnt-workflow)  c.b.p.w.WorkflowApplication.logStarting:50
16:57:10.880[localhost-startStop-1][INFO ]No active profile set, falling back to default profiles: default  c.b.p.w.WorkflowApplication.logStartupProfileInfo:652
16:57:12.134[localhost-startStop-1][INFO ]Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@476ef3b4: startup date [Thu Oct 25 16:57:12 CST 2018]; root of context hierarchy  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext.prepareRefresh:589
16:57:12.305[localhost-startStop-1][INFO ]Properties location [classpath:activiti-app.properties] not resolvable: class path resource [activiti-app.properties] cannot be opened because it does not exist  o.s.c.a.ConfigurationClassParser.processPropertySource:452
16:57:12.315[localhost-startStop-1][INFO ]Properties location [file:activiti-app.properties] not resolvable: activiti-app.properties (系统找不到指定的文件。)  o.s.c.a.ConfigurationClassParser.processPropertySource:452
16:57:13.811[localhost-startStop-1][INFO ]Overriding bean definition for bean 'restResponseFactory' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=restApiConfiguration; factoryMethodName=restResponseFactory; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/activiti/app/conf/RestApiConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.activiti.spring.boot.RestApiAutoConfiguration; factoryMethodName=restResponseFactory; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/activiti/spring/boot/RestApiAutoConfiguration.class]]  o.s.b.f.s.DefaultListableBeanFactory.registerBeanDefinition:824
16:57:13.811[localhost-startStop-1][INFO ]Overriding bean definition for bean 'contentTypeResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=restApiConfiguration; factoryMethodName=contentTypeResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/activiti/app/conf/RestApiConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.activiti.spring.boot.RestApiAutoConfiguration; factoryMethodName=contentTypeResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/activiti/spring/boot/RestApiAutoConfiguration.class]]  o.s.b.f.s.DefaultListableBeanFactory.registerBeanDefinition:824
16:57:14.498[localhost-startStop-1][INFO ]JSR-330 'javax.inject.Inject' annotation found and supported for autowiring  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor.<init>:154
16:57:14.800[localhost-startStop-1][INFO ]Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$9e171799] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:328
16:57:14.873[localhost-startStop-1][INFO ]Bean 'org.springframework.security.config.annotation.method.configuration.Jsr250MetadataSourceConfiguration' of type [org.springframework.security.config.annotation.method.configuration.Jsr250MetadataSourceConfiguration$$EnhancerBySpringCGLIB$$80ee9a9b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:328
16:57:14.891[localhost-startStop-1][INFO ]Bean 'jsr250MethodSecurityMetadataSource' of type [org.springframework.security.access.annotation.Jsr250MethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker.postProcessAfterInitialization:328
